001F	시시하구만…
0056	[CLEAR]
0061	잔챙이들 상대로는<n>아직 부족하다고!!
00B8	[CLEAR]
0134	호오
014B	[CLEAR]
0163	너는 분명
0188	메이너스의 힘을 이어받았…
01C2	[CLEAR]
01CC	힘이 아니야!
01E8	[CLEAR]
01FB	뭐?
0215	[CLEAR]
0225	메이너스에게서<n>이어받은 마음으로…
026B	나는 당신과 싸우겠어!
029B	[CLEAR]
02B1	피오른!
02CA	[CLEAR]
02E9	마음이라…
0308	[CLEAR]
0321	그게 배를 불려 주나?
0362	[CLEAR]
0378	마음에 안 드는 녀석이<n>있을 때 죽여 주나?
03CD	[CLEAR]
03E1	당신은 어째서 싸우는 거야?
0412	[CLEAR]
0427	잔자에게 힘을 보태면서까지…
0456	[CLEAR]
0462	모든 것이 사라진 세계가…
0493	[CLEAR]
04B3	당신은<n>그런 세계가 즐거운 거야?!
04FC	[CLEAR]
053F	생각한다는 건 그야말로…
0586	힘을 가진 자의 특권이구만!!
05E1	[CLEAR]
05E4	아니야!
05FE	[CLEAR]
0610	잔자는
062F	[CLEAR]
063D	나에게 싸울 힘과 장소를 마련해 준다
06A0	[CLEAR]
06A8	그게 재미있는 거라고!!
06E7	[CLEAR]
0722	그게 이유야?
0747	[CLEAR]
0759	고작 그런 게…?
077A	[CLEAR]
0795	그게 진리다!
07CB	[CLEAR]
07F0	메이너스는…
0809	[CLEAR]
0817	거신계와 기신계의 모든 생명이
0869	함께 살아갈 수 있는 세계를<n>바라고 있었어
08A9	[CLEAR]
08C8	난 당신을 용서 못 해!
090C	[CLEAR]
091A	그러냐!
0939	[CLEAR]
094E	하지만 뭘 할 수 있지
0994	그 몸으로!
09C8	[CLEAR]
0AB0	알고 있다고
0AD2	[CLEAR]
0ADE	그 몸에는 이제<n>모나드가 없다는 걸!
0B30	[CLEAR]
0B58	이제 곧<n>움직일 수 없게 될 텐데?
0B9E	[CLEAR]
0BA7	이것 봐
0BBE	[CLEAR]
0BCB	슬슬 한계잖아
0BFE	[CLEAR]
0C3A	설마?!
0C51	[CLEAR]
0C70	괜찮아…
0C91	[CLEAR]
0CD4	마지막의 마지막까지
0CFB	[CLEAR]
0D0C	슈르크랑 함께<n>싸울 거니까
0D4A	[CLEAR]
0D67	피오른!
0D7F	[CLEAR]
0D97	그럼
0DAB	[CLEAR]
0DC1	지금이 그<n>마지막의 마지막이란 거구만!
0E24	[CLEAR]
0EFD	왜 그러지!
0F1E	[CLEAR]
0F30	모나드가 없는 네놈은
0F67	[CLEAR]
0F73	정말 무력하고 미력한 애송이구나!
0FD1	[CLEAR]
0FF8	슈르크!
101A	[CLEAR]
1055	끝이다…
1070	[CLEAR]
108C	기대 이하였다고 너는!
10E1	[CLEAR]
11A5	멜리아?!
11C0	[CLEAR]
11DE	일어서라 피오른!
11FD	[CLEAR]
1209	슈르크와 함께<n>살고자 한 게 아니었느냐!
124D	[CLEAR]
125E	이런 녀석 때문에
128A	쓸데없이 생명을 낭비하지 말거라!
12B9	[CLEAR]
12C7	그래!
12ED	원하는 건 손에 넣는 거야!
1324	죽음으로 지키는 건 안 돼!
1354	[CLEAR]
13C0	이 자식들!
13F0	[CLEAR]
14B3	슈르크, 슬슬 네 힘을 보여 줘!
14F4	[CLEAR]
150B	난 알고 있다고
152F	[CLEAR]
153D	모나드가 없어도
1567	넌 이런 녀석보다 강하다는 걸!
15A0	[CLEAR]
15DB	리키도 알고 있어모!
1602	[CLEAR]
1615	슈르크는 언제나 용감했어모!
1654	[CLEAR]
1666	평소의 마음을
168C	[CLEAR]
1699	떠올려라모!
16B9	[CLEAR]
16D5	슈르크는<n>진정한 용사야모!!
171D	[CLEAR]
1742	그래…
1761	[CLEAR]
178C	빌린 힘 같은 건 필요 없다!
17C3	[CLEAR]
17F8	자신의 힘을 믿어라
1847	슈르크!
1883	[CLEAR]
18B1	모두들…
18C8	[CLEAR]
192C	슈르크…
1942	[CLEAR]
196E	가자, 슈르크…!
1995	[CLEAR]
19B2	우리의 힘으로…
19D8	[CLEAR]
1A09	그래…
1A1E	[CLEAR]
1A46	우리들은
1A5C	[CLEAR]
1A74	모두에게서 이어받은 마음과
1AA5	[CLEAR]
1AD2	자신의 힘으로…
1AF7	[CLEAR]
1B5C	준비 운동도 안 되는군
1B8E	[CLEAR]
1CEE	네놈들…
1D0C	[CLEAR]
1D1D	그 힘은!
1D49	[CLEAR]
B818	[CLEAR]
