014C	바꾸고 싶어?
0168	[CLEAR]
01A9	뭐…?
01B5	[CLEAR]
021F	…미래를
023E	[CLEAR]
02F3	원치 않는 미래를 바꾸고 싶다고<n>생각하는 건 인지상정이지
035A	[CLEAR]
037F	안 그래?
0393	[CLEAR]
03B6	그게 운명에 의해<n>결정된 것이라 해도
03F7	[CLEAR]
041A	너는 저항할 셈이야?
044A	[CLEAR]
047F	나는…
0499	[CLEAR]
04C2	지금 모나드는 네 손에 있어
0517	[CLEAR]
054C	모나드는 너와 함께 성장해
0590	[CLEAR]
05EA	진정한 모나드를 찾아낸다면…
0622	[CLEAR]
0640	분명 이뤄질 거야
0669	[CLEAR]
06A9	진정한 모나드…?
06E4	[CLEAR]
0768	…슈르크
0781	[CLEAR]
07B7	…슈르크
07D0	[CLEAR]
0813	라인…
0826	[CLEAR]
0915	…슈르크!
0930	[CLEAR]
0959	슈르크!!
0976	[CLEAR]
09B4	라인!
09C7	[CLEAR]
0A32	일어났구나 슈르크!
0A53	[CLEAR]
0A5D	좀 도와줘!
0A78	[CLEAR]
B818	[CLEAR]
