036B	어째서냐…?
0385	[CLEAR]
039E	어째서<n>이다음이 보이지 않는 거지?
03E1	[CLEAR]
03FA	두 개의 모나드를 손에 넣은 지금
0439	[CLEAR]
044F	이 세계의 인과의 흐름은
048E	나와 함께할 터
04BC	[CLEAR]
04D1	어째서 비전이 여기서 끊어지는 것이냐
0510	[CLEAR]
055E	딕슨이 사라졌군…
05A7	[CLEAR]
05DA	로우란도 그자들에게…
0612	[CLEAR]
063A	이럴 수가…
0656	[CLEAR]
065C	테레시아의 힘이 약해지고 있어?
06A2	[CLEAR]
06B6	먼지 같은 왜소한 생명에게<n>밀리고 있다고?
0726	[CLEAR]
074C	이 세계는…
0775	여러분의 것…
07A6	[CLEAR]
07C2	신 같은 건 필요 없는 세계를…
0812	[CLEAR]
081C	만들어 주세요…
084C	[CLEAR]
0875	신이 필요 없는 세계라고?
08AE	[CLEAR]
0900	신이 있기에 세계가 있는 것이다
093A	[CLEAR]
0951	이곳은…
096E	나의 세계다!
09A8	[CLEAR]
B818	[CLEAR]
