00D9	단반!
00E9	[CLEAR]
0102	무모해…
011F	이 이상 모나드를 쓰는 건!
014A	[CLEAR]
015B	무모하다고 해도…
017B	해야만 할 때가 있어…!
01B5	[CLEAR]
0236	아뇨…
0257	역시 무모해요
0278	[CLEAR]
0284	슈르크…
02AD	[CLEAR]
02D4	그러니까…
02F3	[CLEAR]
0415	그러니까…
0438	[CLEAR]
0459	제가 할게요!
0474	[CLEAR]
047A	기다려! 슈르크!
049C	너에겐 무리야!
04C0	[CLEAR]
04CE	슈르크!
04E4	[CLEAR]
0738	이건…!
0773	[CLEAR]
09BF	뭣!
09D3	[CLEAR]
0BA1	괴, 굉장해! 슈르크!
0BD6	[CLEAR]
0C1E	대, 대체 어떻게
0C51	설마 슈르크가 모나드를…
0C92	[CLEAR]
0C9B	방금 그건 대체…?
0CC1	[CLEAR]
0CCF	온다! 슈르크!
0CEE	[CLEAR]
0D0A	라인!
0D1C	[CLEAR]
0D29	아, 알았어!
0D42	[CLEAR]
0D90	라인!
0DA1	단반 씨!
0DB6	[CLEAR]
0E13	뒤는 맡겨!
0E3C	[CLEAR]
0E43	슈르크
0E59	몸은 아무렇지도 않은 거냐?
0E80	[CLEAR]
0E8B	네…
0EA0	[CLEAR]
0EA8	그보다 아까부터 뭔가 이상해요
0EF0	[CLEAR]
0F00	앞일이…
0F1F	[CLEAR]
0F30	조금 앞의 미래가
0F52	[CLEAR]
0F61	보이는 듯한…
0F8D	[CLEAR]
0FAA	이것도
0FC1	모나드의 힘인가요?
0FEE	[CLEAR]
100D	미래가 보인다고?
103B	그런 말도 안 되는…
105C	[CLEAR]
1068	정말이냐?
1088	슈르크?
109E	[CLEAR]
10CA	네
10DC	[CLEAR]
10F8	그렇군
111E	이전에 딕슨이 말했던<n>모나드의 숨겨진 힘
1182	어쩌면 그게…
11AA	[CLEAR]
129F	지금은 아무것도 생각하지 마!
12D2	모나드가 보여 준 걸 믿고 싸워라!
131F	[CLEAR]
1354	네!
1364	[CLEAR]
B818	[CLEAR]
