0112	…딕슨 씨!
012C	[CLEAR]
0155	기다렸다고, 슈르크
018B	[CLEAR]
01A7	저희들과…
01BD	[CLEAR]
01D1	싸우기 위해서인가요?
01F9	[CLEAR]
0211	그래, 그렇게 되겠지
024B	[CLEAR]
0269	아니면
027E	[CLEAR]
028F	얌전히 베여 줄 거냐?
02C7	[CLEAR]
02E3	…그럴 순 없어요
0304	[CLEAR]
0325	당연하겠지
034D	[CLEAR]
0387	그렇지 않으면 재미없다고
03BD	[CLEAR]
03DC	나는 처음부터<n>잔자 님을 위해 움직여 왔다
0431	[CLEAR]
0443	너도
045E	[CLEAR]
0469	그 때문에<n>단련시켜 준 거라고
04AD	[CLEAR]
04B9	네…
04C8	[CLEAR]
04EB	힘을 주신 것은
051C	[CLEAR]
052F	감사하고 있습니다
054A	[CLEAR]
056E	그 덕분에
0586	[CLEAR]
059B	저는 지금
05B2	[CLEAR]
05BD	여기에 서 있어요!
05DC	[CLEAR]
05F6	말 한번 잘하는구나!
061E	[CLEAR]
062A	애송이!
0643	[CLEAR]
07BD	딕슨 씨…
07D7	[CLEAR]
07FE	무슨 일이 있어도 저희를<n>막을 생각이라면
0845	[CLEAR]
0863	전 당신을 베겠어요!
0891	[CLEAR]
B818	[CLEAR]
