004D	라인!
005F	[CLEAR]
0170	괜찮아? 쥬쥬!
0197	[CLEAR]
01D1	카, 카르나…
01F3	[CLEAR]
020A	미안, 나…
023A	[CLEAR]
034D	괜찮은 거지!
0374	[CLEAR]
0389	응…
039D	[CLEAR]
03CD	좋았어
03E9	바꿀 수 있었네
0405	미래
0413	[CLEAR]
047C	왜 그래?
048F	[CLEAR]
04B5	아니, 뭔가 이상해
04E2	[CLEAR]
04F0	내가 봤던 그림자는
051E	이런 기신병이 아니었어
0544	[CLEAR]
0565	그러고 보니<n>그 검은 얼굴 녀석이 없었네
05B6	[CLEAR]
05D8	그런 것까지 포함해서
05FF	바뀐 게 아닐까?
061E	[CLEAR]
065C	슈르크?
0672	[CLEAR]
069F	아니야…
06BD	[CLEAR]
06CC	뭔가가 달라!
06EA	[CLEAR]
0792	쥬쥬!
07A5	[CLEAR]
0847	달라!
0865	그 녀석이 아니잖아?!
0882	[CLEAR]
08D9	하지만 이 녀석도 얼굴이 있어!
0905	기다리고 있었다고
093C	모나드 사용자
0979	[CLEAR]
0996	기신병이 말을 한다고?!
09C5	[CLEAR]
0A0A	《검정》 놈이 꼬리를 말고<n>도망가 버렸다고 해서
0A6F	어떤 녀석인가 하고 기대했건만
0ACB	이건 대체 무슨 경우지?
0B18	[CLEAR]
0B40	완전 애송이잖아!
0B92	[CLEAR]
B818	[CLEAR]
