00A4	거짓말…
00C8	[CLEAR]
0128	아무도… 없잖아
0178	[CLEAR]
01B3	거기다 이 피는…
01FA	설마…!
021C	[CLEAR]
0224	이제야 왔나
0261	[CLEAR]
026A	느려 터졌잖아 애송이!
02B1	[CLEAR]
034E	어이 슈르크…!
0374	[CLEAR]
0379	저 녀석은…!
0396	[CLEAR]
03B7	틀림없어…
03E9	쥬쥬를 데리고 간
0412	그 녀석이야!
042C	[CLEAR]
04B4	쥬쥬는 어딨어?!
04D5	[CLEAR]
04E6	콜로니 사람들은?!
0510	[CLEAR]
058B	첫 번째 질문이라면
05DA	[CLEAR]
05F5	꼬마는 저쪽에 있다
0634	[CLEAR]
0685	쥬쥬!
069F	[CLEAR]
06AE	아직 죽진 않았지
06F5	뭐, 그것도 시간문제지만 말이야
075B	[CLEAR]
0781	…어이쿠
07A5	[CLEAR]
07B3	두 번째 질문 말인데
07FE	[CLEAR]
0807	이 콜로니의 다른 녀석들 말이야…
0861	[CLEAR]
089E	이미 다 먹어 버렸다
0910	[CLEAR]
09AD	여긴 말이지
09DC	[CLEAR]
09E3	우리들의 식탁이라고
0A26	[CLEAR]
0A36	거기 서 있는 네놈들은
0A8A	뭐 저녁 식사란 거지
0AD0	저 꼬마는
0B08	식후 디저트쯤 되겠구만
0B56	[CLEAR]
0BC5	이 자식!!
0BE4	[CLEAR]
0C0A	나는 《갈색》의 조드
0C49	조드?
0C66	그게 네놈의 이름이냐!
0C98	[CLEAR]
0CE8	"그렇다"고 들었다
0D3E	[CLEAR]
0D51	뭐, 잘 기억이<n>안 나지만 말이야
0DE8	[CLEAR]
0E0C	기억이 안 난다고?!
0E2E	[CLEAR]
0E3A	자, 그럼…
0E67	슬슬 네놈들도<n>먹어 치워 주지
0EBC	[CLEAR]
0ECA	이 콜로니 놈들과<n>똑같이 말이야!
0F4E	[CLEAR]
0FAF	가드…
0FCA	[CLEAR]
1000	다들…
102C	[CLEAR]
1039	조그맣긴 하지만 새 먹이다
107E	[CLEAR]
1092	먹어 치워라!
10C2	[CLEAR]
1173	용서 못 해!
1191	[CLEAR]
11A3	너희들을 전부 없애 버릴 때까지
11EB	나는 싸우겠어…!
1226	[CLEAR]
13E4	나도 돕겠어…!
1400	[CLEAR]
14D5	…우리들은
14F7	[CLEAR]
150D	인간은
1531	[CLEAR]
1544	너희들에게 먹힐 뿐인<n>먹이가 아니야!
1596	[CLEAR]
1639	모나드냐
166B	[CLEAR]
1679	그 무딘 칼로 언제까지 버틸 수 있으려나?
16EE	[CLEAR]
16F0	마음대로 떠들어!
1719	[CLEAR]
17AB	난 《검정》 녀석과는 달라…
17FE	모나드로는 나를 쓰러뜨릴 수 없다고!
1873	[CLEAR]
18B8	검은 얼굴 때와 똑같아…
18F3	[CLEAR]
1924	역시 이 녀석에게는<n>모나드가 통하지 않아!
1961	[CLEAR]
B818	[CLEAR]
